Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,55,239,5110,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,56,239,21400,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,57,237,53107,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,58,236,260,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),59,235,18520,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,60,235,1692,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,61,233,128809,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,62,231,4776,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,63,230,2012,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,64,230,11715,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,65,226,660,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,66,226,51127,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,67,224,6349,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,68,224,2571,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,69,222,21675,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,70,220,48666,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,71,218,124101,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,72,217,22785,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,73,209,54,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,74,208,1643,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,75,208,37619,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),76,204,8910,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,77,199,8639,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,78,199,35226,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,79,198,4493,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,CT500P2SSD8,Crucial,P2 3D NVMe PCIe M.2 500GB,80,197,9787,https://ssd.userbenchmark.com/SpeedTest/1110621/CT500P2SSD8
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,81,197,33311,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,82,197,24044,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,83,196,2297,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,84,196,199171,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
