Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80673I99960X,Intel,Core i9-9960X,69,85.8,551,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,,Intel,Core i9-10885H,70,85.6,1453,https://cpu.userbenchmark.com/SpeedTest/1174414/IntelR-CoreTM-i9-10885H-CPU---240GHz
CPU,,Intel,Core i7-10750H,71,85.5,65326,https://cpu.userbenchmark.com/SpeedTest/1053158/IntelR-CoreTM-i7-10750H-CPU---260GHz
CPU,,Intel,Core i7-10870H,72,85.5,764,https://cpu.userbenchmark.com/SpeedTest/1322918/IntelR-CoreTM-i7-10870H-CPU---220GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,73,85.5,2186,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,74,85.2,210143,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,,AMD,Ryzen 9 4900HS,75,85.2,5801,https://cpu.userbenchmark.com/SpeedTest/1084184/AMD-Ryzen-9-4900HS-with-Radeon-Graphics
CPU,,AMD,Ryzen 9 4900H,76,85.1,1770,https://cpu.userbenchmark.com/SpeedTest/1185620/AMD-Ryzen-9-4900H-with-Radeon-Graphics
CPU,BX80684I38350K,Intel,Core i3-8350K,77,85,21067,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,BX80684I58400,Intel,Core i5-8400,78,84.9,215845,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,100-1000000158,AMD,Ryzen 5 3500X,79,84.8,19736,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,,Intel,Core i7-10850H,80,84.7,1104,https://cpu.userbenchmark.com/SpeedTest/1160496/IntelR-CoreTM-i7-10850H-CPU---270GHz
CPU,BX80673I99900X,Intel,Core i9-9900X,81,84.6,2153,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,82,84.6,2854,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,BX8070110100F,Intel,Core i3-10100F,83,84.6,5025,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082
CPU,BX80673I97960X,Intel,Core i9-7960X,84,84.5,1686,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz
CPU,BX8070110100,Intel,Core i3-10100,85,84.4,7338,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,86,84.4,2427,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,BX80648I75960X,Intel,Core i7-5960X,87,84.3,13275,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,100-1000000050,AMD,Ryzen 5 3500,88,84.3,7456,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,100-100000031BOX,AMD,Ryzen 5 3600,89,84.1,739260,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,,AMD,Ryzen 7 4800HS,90,84.1,3971,https://cpu.userbenchmark.com/SpeedTest/1064059/AMD-Ryzen-7-4800HS-with-Radeon-Graphics
CPU,BX80662I76700K,Intel,Core i7-6700K,91,84,471765,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,100-000000098,AMD,Ryzen 7 4800H,92,84,21525,https://cpu.userbenchmark.com/SpeedTest/1032976/AMD-Ryzen-7-4800H-with-Radeon-Graphics
CPU,BX8069510980XE,Intel,Core i9-10980XE,93,84,1311,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,,Intel,Core i5-10500T,94,83.9,100,https://cpu.userbenchmark.com/SpeedTest/1204939/IntelR-CoreTM-i5-10500T-CPU---230GHz
CPU,BX80673I97940X,Intel,Core i9-7940X,95,83.9,3444,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I79800X,Intel,Core i7-9800X,96,83.9,2333,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,,Intel,Core i9-9980HK,97,83.6,4575,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz
CPU,BX80646I74790K,Intel,Core i7-4790K,98,83.6,334184,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384
CPU,BX80673I97900X,Intel,Core i9-7900X,99,83.6,14770,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80677I57600K,Intel,Core i5-7600K,100,83.5,157824,https://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,BX80673I99820X,Intel,Core i9-9820X,101,83.5,1567,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,BX80648I75930K,Intel,Core i7-5930K,102,83.3,28138,https://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578
CPU,BX80671I76800K,Intel,Core i7-6800K,103,83.2,36399,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,BX80673I99980X,Intel,Core i9-9980XE,104,83.1,1422,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,BX80658i75775C,Intel,Core i7-5775C,105,83,1625,https://cpu.userbenchmark.com/SpeedTest/30276/IntelR-CoreTM-i7-5775C-CPU---330GHz
CPU,CM8068403358413,Intel,Core i7-8700T,106,82.6,2786,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,CM8068403358708,Intel,Core i5-8600T,107,82.4,196,https://cpu.userbenchmark.com/SpeedTest/506080/IntelR-CoreTM-i5-8600T-CPU---230GHz
CPU,BX80673I77820X,Intel,Core i7-7820X,108,82.3,21139,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I97920X,Intel,Core i9-7920X,109,82.3,4014,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,,Intel,Core i7-11370H,110,82.1,43,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz
CPU,YD270XBGAFBOX,AMD,Ryzen 7 2700X,111,81.9,428911,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700X/Rating/3958
CPU,CL8068404069006,Intel,Core i9-9880H,112,81.7,6994,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz
CPU,100-000000163,AMD,Ryzen TR 3990X,113,81.6,569,https://cpu.userbenchmark.com/SpeedTest/1035665/AMD-Ryzen-Threadripper-3990X-64-Core-Processor
CPU,BX80658i55675C,Intel,Core i5-5675C,114,81.5,819,https://cpu.userbenchmark.com/SpeedTest/31828/IntelR-CoreTM-i5-5675C-CPU---310GHz
CPU,BX80684I39100,Intel,Core i3-9100,115,81.4,5509,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz
CPU,100-100000159BOX,AMD,Ryzen 3 3300X,116,81.1,7390,https://cpu.userbenchmark.com/AMD-Ryzen-3-3300X/Rating/4076
CPU,BX80648I75820K,Intel,Core i7-5820K,117,81.1,86536,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,,Intel,Core i7-9850H,118,81,5354,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz
CPU,,Intel,Xeon E3-1245 v6,119,80.9,389,https://cpu.userbenchmark.com/SpeedTest/299743/IntelR-XeonR-CPU-E3-1245-v6---370GHz
CPU,,Intel,Core i5-10200H,120,80.8,332,https://cpu.userbenchmark.com/SpeedTest/1303113/IntelR-CoreTM-i5-10200H-CPU---240GHz
