Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,11G-P4-2487-KR,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,6,175,249474,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2281-KR,EVGA,EVGA RTX 2080 Ti 11GB Black,6,175,249474,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TAORUS X-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,6,175,249474,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,,Nvidia,Quadro RTX 8000,7,175,173,https://gpu.userbenchmark.com/SpeedTest/762332/NVIDIA-Quadro-RTX-8000
GPU,,Nvidia,Quadro RTX 6000,8,172,503,https://gpu.userbenchmark.com/SpeedTest/736712/NVIDIA-Quadro-RTX-6000
GPU,,AMD,RX 6800-XT,9,165,3861,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089
GPU,,Nvidia,Titan V,10,160,706,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V
GPU,,Nvidia,RTX 3070,11,154,107066,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,,Nvidia,Titan Xp,12,143,6050,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp
GPU,,AMD,RX 6800,13,138,3442,https://gpu.userbenchmark.com/AMD-RX-6800/Rating/4088
GPU,,Nvidia,RTX 2080S (Super),14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Gaming,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08GP43183KR,EVGA,EVGA RTX 2080 Super 8GB XC Ultra,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Gaming X Trio,MSI,MSI RTX 2080 Super 8GB Gaming X,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
